Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11,Attribute 12,Attribute 13,Attribute 14,Attribute 15,Attribute 16,Attribute 17,Attribute 18,Attribute 19,Attribute 20,Attribute 21,Attribute 22,Attribute 23,Attribute 24,Attribute 25,Attribute 26,Attribute 27,Attribute 28,Attribute 29,Attribute 30,Attribute 31,Attribute 32,Attribute 33,Attribute 34,Attribute 35,Attribute 36,Attribute 37,Attribute 38,Attribute 39,Attribute 40,Attribute 41,Attribute 42,Attribute 43,Attribute 44,Attribute 45,Attribute 46,Attribute 47,Attribute 48,Attribute 49,Attribute 50,Attribute 51,Attribute 52,Attribute 53,Attribute 54,Attribute 55,Attribute 56,Attribute 57,Attribute 58,Attribute 59,Attribute 60,Class
0.8,1,1,1,1,0.75,0.5,1,1,0,1,1,0.5,1,0.75,0.5,0.75,0.9,0.947385222,0.5,0,0,0,0,0,0,0.5,1,0.5,0.055853078,0.964963834,0.000752237,0.184653824,1,1,1,0.006309744,0.01294851,0.153601143,0.020904068,0.127008616,0.012291791,0.04955962,0.027404745,0.002542695,0.097695502,0.105640408,0.128774625,0.010139114,0.891309208,0.25,0.625502487,0.297658027,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0.503235083,Good
0.6,1,1,0.739130435,1,0.75,0.25,1,1,0,1,1,0.25,1,0.75,0.75,1,1,0.958579856,0.5,0,0,0,0,0,0,0.75,0.75,1,0.01713435,0.898538961,0.002744335,0.016199221,1,1,0.82879653,0.057391105,0.00963795,0.016540165,0.150929181,0.012926247,0.084175084,0.045581269,0.005480949,0.044188612,1,0.053695942,0.017582802,0.008423354,0.991377902,0.75,0.003662164,0.059531605,0.133070571,0.49122807,0.757575758,0.167831448,0.037627159,0.057575758,0.738317757,Good
0.6,1,1,1,1,0.25,0.25,1,1,0,0.5,0.3,0.5,0,0.75,0.5,0.75,0.9,0.969774489,0.5,0,0,0,0,0,0,0.5,0.75,1,0.092780335,0.976958525,0.000476947,0.07507404,1,1,1,0.038656841,0.032111203,0.175707753,0.045564415,0.049003578,0.074328129,0.070958005,0.213148016,0.003894038,0.149589498,0.154300643,0.035809769,0.042351509,0.803124748,0.5,0.019183919,0.595316053,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0.503235083,Good
0.4,1,0.8,1,1,0.25,0.25,1,1,0,1,1,0.5,1,1,0.5,0.5,0.8,0.975371806,0.5,0,0,0,0,0,0,0.25,1,1,0.025096607,0.875465965,0.003702539,0.145192134,0.089079398,1,0.543841013,0.041101325,0.066994617,0.054121401,0.31056223,0.138441229,0.054988783,0.112057469,0.094774743,0.000730668,0.020567639,0.033958917,0.150764107,0.002929583,0.914474853,1,0.049208815,0.154782174,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.4,0,1,0.913043478,1,0.25,0.25,1,1,0,1,0.6,0.5,0,0.5,0.25,0.75,0.8,0.969774489,0.5,0,0,0,0,0,0,0.5,0.75,1,0.001799321,0.9031477,0.002573293,0.02774076,0.992155961,1,0.989996902,0.050744475,0.015068859,0.065174706,0.059576427,0.022595622,0.07583465,0.032285387,0.009134915,0.003648339,0.847799627,0.121393961,0.024829668,0.022780322,0.973120963,0.5,0.007057548,0.071437926,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.4,1,1,1,1,0.25,0.25,1,1,0,1,1,1,1,0.75,0.5,0.75,0.9,0.909323468,0.5,0,0,0,0,0,0,0.75,0.75,0.75,0.015936855,0.831610276,0.00616963,0.234256507,0.798045529,1,0.880671004,0.016490004,0.043607595,0.219920971,0.04926007,0.276518273,0.018151808,0.091421861,0.007015615,0.002174147,0.018843586,0.034177784,0.323488416,0.005666071,0.995539106,0.75,0.003662164,0,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
0.6,1,1,1,0,1,0.25,0,1,0,1,1,1,0,0.75,0.5,0.75,0.9,0.958579856,0.5,0,0,0,0,0,0,0.25,0.75,0.75,0.172472773,0.977456551,0.000536992,0.43796565,0.842866196,1,0.919444076,0.00785165,0.039700757,0.658673721,0.013664097,0.336307841,0.013629865,0.088874581,0.09134915,0.001094111,0.04891368,0.085432741,0.057869524,0.09814547,0.917230617,0.25,0.000751835,0.083344247,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0,Good
0.6,1,0.8,1,1,0.25,0.25,1,1,0,1,0.6,0.25,0,0.75,0.5,0.75,0.9,0.980969123,0.5,0.8,0.5,1,0,0.101028204,0.75,0,0,0,0.000275222,1,0,0.012892375,1,1,1,0.05893742,0.00771036,0.011013513,0.180174421,0.006791476,0.120724602,0.03051457,0.014615864,0.006719572,0.033221143,0.06485668,0.002723065,0.037518456,0.99000002,0.25,0.002692054,0.023812642,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0.738317757,Good
0.4,1,1,1,1,0.25,0.25,1,1,0,1,1,0.5,1,1,0.5,0.5,0.8,0.891412055,0.5,0,0,0,0,0,0,0.5,0.75,0.75,0.016723684,0.828810298,0.006366662,0.363288324,0.746966499,1,0.878546452,0.009019857,0.037549761,0.314979392,0.02897567,0.435981697,0.009967578,0.090589393,0.02466427,0.004448167,0.025080909,0.030961203,0.512346154,0.005093292,0.864871094,0.75,0.185557734,0.154782174,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.4,1,1,1,0.5,0.25,0.25,1,1,0,1,1,1,0,0.75,0.5,0.75,0.9,0.969774489,0.5,0,0,0,0,0,0,0.25,0.25,1,0.009884322,0.838476015,0.005710367,0.031270202,0.97300976,1,0.95122383,0.040430601,0.013450448,0.047489418,0.07351799,0.034557735,0.045496748,0.033820142,0,0.010097928,0.014193345,0.058865757,0.032149736,0.012806845,0.990046524,1,0.002207,0.023812642,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
0.8,1,0.8,1,1,0.5,0.25,1,1,0,1,0.6,0.5,1,0.75,0.5,0.75,0.9,0.947385222,0.5,0,0,0,0,0,0,0.75,0.75,1,0.025000597,0.842062579,0.005483042,0.059919285,1,1,1,0.025585124,0.016583394,0.110714321,0.037943473,0.066093994,0.029480449,0.053600457,0.027404745,0.001960916,0.017671347,0.072335743,0.006687614,0.142980164,0.706672995,0.75,0.014333371,0.357189632,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0,1,1,1,1,0.25,0.25,1,1,0,1,0.6,0.5,0,0.75,0.5,0.75,0.9,0.947385222,0.5,0,0,0,0,0,0,0.5,1,1,0.009494004,0.909774331,0.002337713,0.147030804,0.671128142,1,0.78975789,0.02425896,0.039899432,0.082859993,0.121696516,0.122011418,0.037484197,0.086548208,0.021923796,0.001198579,0.012890677,0.029103992,0.117282119,0.005948075,0.90359475,0.75,0.024034468,0.142875853,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.6,1,0.8,1,0.25,0.25,0.25,1,1,0,1,1,1,0,1,0.75,0.5,0.866666667,0.97649127,0.5,1,0.75,1,0,0.08890482,1,0,0,0,0.001947204,1,0,0.012957216,1,1,1,0.055668007,0.007270789,0.013592618,0.140715722,0.006832104,0.11407144,0.015214818,0.005480949,0.003648339,0.022213327,0.157888892,0,0,0.994110708,0.75,0.000751835,0.011906321,0.16006967,0.570175439,0.151515152,0.335353922,0.452271114,0.63030303,0,Good
0.6,1,1,0.869565217,1,1,0.25,1,1,0,1,1,0.5,0,0.75,0.75,1,1,0.947385222,0.5,1,1,1,0.8,0.121233845,1,0,0,0,0.020878084,0.847644121,0.005145109,0.109673435,1,1,1,0.010933511,0.013011539,0.053237137,0.063485277,0.118623521,0.013210086,0.027616901,0.137023724,0.000821687,0.005878511,0.019032269,0.060273435,0.007550072,0.938973598,0.75,0.096792696,0.119063211,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0,1,1,0.913043478,1,0.25,0.25,1,1,0,1,0.6,0.5,0,0.75,0.5,0.75,0.9,0.958579856,0.5,0,0,0,0,0,0,0.5,0.75,1,0.017950997,0.859309625,0.004495102,0.046230501,0.808819133,1,0.877838268,0.057829855,0.029437054,0.065174706,0.114610748,0.04656592,0.071801199,0.063848353,0.006577139,0.003279791,0.019854508,0.060187533,0.035077763,0.016067405,0.959583271,0.75,0.01821381,0.178594816,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.6,0,1,1,0.5,0.25,0.25,1,1,0,1,1,1,1,0.75,0.5,0.75,0.9,0.947385222,0.5,1,1,1,0,0.269381604,1,0,0,0,0.003702833,1,0,0.034017105,1,1,1,0.086719808,0.032547359,0.071806689,0.114839277,0.020027844,0.177260962,0.069864827,0,8.46752E-06,0.030076053,0.149790442,0.01417165,0.044043812,0.945420364,0.75,0.001964472,0.071437926,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0,Good
0.4,1,1,0.956521739,1,0.25,0.25,1,1,0,1,1,0.5,0,0.75,0.5,0.75,0.9,0.947385222,0.5,1,1,1,0.8,0.161645127,1,0,0,0,0.015793658,0.796416938,0.009168575,0.085448457,1,1,1,0.026177502,0.024633377,0.054121401,0.115855349,0.12335213,0.023243656,0.052947813,0.009134915,0.000167609,0,0.01858577,0,0,0.987933197,1,0.169550924,0.297658027,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0.503235083,Good
0.8,0.5,0.8,0.782608696,0,0.25,0.25,0,0,0,1,1,1,0,0.25,0.25,1,1,0.969774489,0.5,0,0,0,0,0,0,0.25,0.75,1,0.007927921,0.894230769,0.002909895,0.118516913,1,1,0.772584429,0.026868055,0.035465057,0.109387924,0.081816223,0.104257146,0.03903838,0.078568596,0.219237959,0.000653887,0.045801506,0.045278275,0.029221709,0.032370203,0.882897237,0.5,0.00327412,0.035718963,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0,Good
0.8,0.75,1,0.608695652,1,1,0.25,1,1,0,1,1,0.5,0,0.75,0.5,0.75,0.9,0.969774489,0.5,0,0,0,0,0,0,0.25,0.75,1,0.024775057,0.822935519,0.006799979,0.400365114,0.690286995,1,0.54021157,0.008872217,0.04081668,0.590541151,0.015947946,0.496324232,0.009501185,0.090712541,0.128248603,0.000898972,0,0.051580637,0,0,0.920675632,0.75,0.096792696,0.178594816,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.4,1,1,1,1,0.25,0.25,1,1,0,1,0.6,0.5,0,1,0.5,0.5,0.8,0.936190589,0.5,0,0,0,0,0,0,0.25,0.75,1,0.035673898,0.865519118,0.004176882,0.089487025,0.527670799,1,0.863231975,0.026880601,0.026554083,0.060642851,0.111311726,0.088702536,0.034595372,0.055223388,0.178435339,0.000735428,0.005870087,0.029330224,0.035502327,0.01477204,0.915689111,0.75,0.145298181,0.238126421,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.4,1,1,1,0.75,0.25,0.25,1,1,0,1,1,1,0,1,0.5,0.5,0.8,0.947385222,0.5,0,0,0,0,0,0,0.25,1,1,0.018568082,0.860165772,0.004450146,0.103646869,0.933074663,1,0.686097464,0.011394286,0.012781412,0.109387924,0.029685293,0.105503031,0.014588348,0.02501179,0.03653966,0.001151724,0.01452729,0.044738584,0.021901642,0.043238736,0.924003907,1,0.000751835,0,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
0.6,0.5,0.8,0.695652174,0.75,0.75,0.75,0,1,0,1,1,1,0,0.25,0.25,1,1,0.936190589,0.5,0,0,0,0,0,0,0.25,0.75,0.75,0.030507412,0.838639728,0.005699809,0.110012679,0.775874171,1,1,0.01604942,0.019410526,0.07622801,0.065032647,0.124530209,0.018336313,0.039013173,0,0.001163155,0.006587721,0.026170821,0.08474442,0.007645113,0.98404068,0.25,0.003662164,0.047625284,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0,Good
0.4,1,1,0.695652174,1,0.25,0.25,1,1,0,1,1,0.5,1,1,0.75,0.75,0.933333333,0.958579856,0.5,0,0,0,0,0,0,0.5,0.75,1,0.002865061,1,0,0.076766042,1,1,0.959987607,0.02131974,0.017818582,0.366929924,0.010985139,0.046813546,0.044173705,0.058846255,0.010961898,0.004146716,0.164339575,0.336931184,0,0,0.96924567,0.75,0.048287211,0.10715689,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.6,1,1,1,0,1,0.25,0,1,0,1,1,1,0,0.75,0.5,0.75,0.9,0.936190589,0.5,0,0,0,0,0,0,0.25,0.75,1,0.008138623,0.883711763,0.003339016,0.396032579,0.862799613,1,0.939715841,0.006956659,0.031805236,0.074017349,0.108894437,0.366711598,0.010078968,0.091092762,0.05480949,0.000499887,0.01581082,0.008015696,0.505026087,0.001049928,0.925411792,0.5,0.003662164,0.059531605,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0,Good
0,1,0.8,0.826086957,1,0.25,0.25,1,1,0,1,1,0.5,0,1,1,1,1,0.947385222,0.5,1,0.375,1,0.6,0.336747211,1,0,0,0,0.043605112,0.837652177,0.005763765,0.157502482,0.889171327,1,1,0.027683228,0.048898371,0.558461587,0.020645881,0.179724461,0.031156494,0.10696867,0.027550904,0.002669394,0.211303139,0.135698448,0.021228195,0.226828731,0.939652205,1,0.003662164,0.119063211,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.6,0.5,1,0.695652174,0.75,0.75,0.75,0,1,0,1,1,0.5,0,0.25,0.25,1,1,0.947385222,0.5,0,0,0,0,0,0,0.25,0.75,0.75,0.040100804,0.955665743,0.000980163,0.07992006,1,1,0.991059178,0.021909281,0.01912307,0.014329504,0.328480663,0.055899589,0.039740934,0.039402329,0,0.00031794,0,0.010935228,0.058501978,0.002046998,0.967380362,0.25,0.001721945,0.059531605,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0.503235083,Good
0.4,1,1,0.391304348,0,1,0.25,0,1,0,1,1,1,0,1,1,0.75,0.95,0.947385222,0.5,0,0,0,0,0,0,0.25,0.75,0.75,0.008245786,0.971373394,0.00060263,0.174722783,0.988529148,1,0.893595361,0.01078861,0.021031385,0.424407108,0.011147893,0.117738936,0.020920191,0.068740578,0.050242032,0.002091224,0.08021948,0.157050778,0.014727976,0.248341933,0.953658377,0.5,0.002692054,0.047625284,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0,Good
0.4,1,1,0.565217391,1,0.25,0.25,1,1,0,1,0.6,0.5,0,0.75,0.75,1,1,0.958579856,0.5,0,0,0,0,0,0,0.5,0.75,0.75,0.04437896,0.832184655,0.006129932,0.300207881,0.778342654,1,0.984419953,0.013303485,0.045367362,0.61161295,0.017216957,0.353627656,0.014769514,0.101328275,0.05480949,0.000920038,0.092028678,0.07534972,0.023131413,0.227989956,0.948146849,0.75,0.024034468,0.309564348,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.4,1,1,1,1,0.25,0.25,1,1,0,1,1,0.5,0,0.75,0.5,0.75,0.9,0.909323468,0.5,1,1,1,0,0.242467691,1,0,0,0,0.035543087,0.867109635,0.004098207,0.052380002,0.9831311,1,0.913513035,0.048987189,0.0282369,0.131494534,0.054002386,0.051034959,0.063089687,0.056542561,0.356261684,0.002174147,0.032592125,0.110955656,0.010189534,0.111555226,0.868789446,0.5,0.007542603,0.119063211,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.6,1,1,0.956521739,0,0.25,0.25,1,1,0,1,1,0.25,0,0.5,0.25,0.75,0.8,0.98656644,0.5,0,0,0,0,0,0,0.25,0.75,1,0.008288594,0.873353597,0.003799849,0.023461313,0.95782775,1,1,0.043261964,0.010609242,0.017866562,0.15323695,0.021539304,0.057327096,0.023727769,0.009134915,0.001864567,0.120340155,0.035690492,0.03039292,0.00515707,0.971197095,0.75,0.000509308,0.035718963,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.738317757,Good
0,1,1,1,1,0.75,0.25,1,1,0,1,1,1,0,0.75,0.5,0.75,0.9,0.958579856,0.5,0,0,0,0,0,0,0.25,0.75,1,0.00850144,1,0,0.028622586,1,1,0.425043155,0.0201739,0.005660384,0.009908182,0.151280763,0.016647738,0.041841952,0.017462041,0.05480949,0.000423545,0.057595596,0.053251908,0.011331464,0.008146507,0.981043786,1,0.005602384,0.119063211,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
0.4,1,1,1,1,0.75,0.75,1,1,0,1,0.6,1,0,0.5,0.5,1,1,0.947385222,0.5,0,0,0,0,0,0,0.25,0.75,1,0.026138112,0.860576026,0.004428729,0.042845523,0.760791969,1,0.496038596,0.075567216,0.035813706,0.109387924,0.082617479,0.042807865,0.094225276,0.077276847,0.146158639,0.006105325,0.021470841,0.109668592,0.021023233,0.045050158,0.949066585,0.75,0.007542603,0.095250569,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
0.6,1,1,1,0.75,0.25,0.25,1,1,0,1,0.6,1,1,0.75,0.5,0.75,0.9,0.947385222,0.5,0,0,0,0,0,0,0,0.75,1,0.023406611,0.859332897,0.004493875,0.040615348,0.82633355,1,0.776036826,0.080488317,0.036165262,0.078438671,0.116649925,0.04075617,0.099757257,0.0780746,0.027404745,0.00526995,0.017924566,0.082557096,0.00755431,0.09005703,0.953830613,1,0.005117329,0.023812642,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
0.6,1,1,0.52173913,1,1,0.25,1,1,0,1,1,1,1,1,1,1,1,0.958579856,0.5,0,0,0,0,0,0,0.25,0.75,1,0.011708084,0.830296273,0.006261362,0.141616915,0.765623503,1,0.591643429,0.017672574,0.027864386,0.07622801,0.092787544,0.167866152,0.019288445,0.060279641,0,0.002650188,0.005952835,0.0192086,0.182504944,0.003425198,0.995304866,1,0.004632274,0,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
0.4,1,1,0.956521739,0,0.25,0.25,0,1,0,1,1,1,0,1,0.5,0.25,0.7,0.98656644,0.5,0,0,0,0,0,0,0.25,0.75,1,0.022631189,0.856044247,0.004669881,0.072837056,0.527670799,0.663104281,0.792944717,0.034736066,0.027899113,0.30202934,0.022213086,0.075228709,0.042665458,0.062962077,0,0.003953128,0.126466945,0.174087389,0.004809284,0.53770107,0.970337641,0.5,0.00327412,0.035718963,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0,Good
0.2,1,1,1,1,0.25,0.25,1,1,0,0.5,0.3,0.5,0,1,0.75,0.5,0.866666667,0.91659998,0.5,1,0.9375,1,0.6,0.080822564,1,0,0,0,0.026312227,0.836796962,0.005819678,0.249687563,0.764541644,1,1,0.014852473,0.04193094,0.628276028,0.015321091,0.286891621,0.016841037,0.088294128,0.13448568,0.000986016,0,0.095587203,0.036834579,0.147121619,0.912446989,1,0.15014873,0.595316053,0.24573927,0.605263158,0.575757576,0.499860226,0.509930211,0.324242424,0.503235083,Good
0.6,1,1,1,0.75,0.25,0.25,1,1,0,1,0.6,1,0,0.75,0.5,0.75,0.9,0.969774489,0.5,0,0,0,0,0,0,0.25,0.75,1,0.020589211,0.980519481,0.000398984,0.674196646,1,1,0.89563139,0.006089563,0.048250945,0.065174706,0.186673363,0.445529189,0.012461783,0.163473739,0.548094898,0.000626246,0,0.012112666,0.731948174,0.00054714,0.760927106,1,0.007057548,0,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
0.4,1,1,0.956521739,1,1,0.25,1,1,0,1,1,1,0,1,0.75,0.75,0.933333333,0.969774489,0.5,0,0,0,0,0,0,0.25,0.75,1,0.011663484,0.864842366,0.004211515,0.063423245,0.964102981,1,0.985659275,0.01348149,0.00893285,0.037541444,0.063275741,0.062715157,0.017538905,0.018361509,0,0.00131592,0.00795732,0.02568829,0.05452601,0.005886212,0.993034806,1,0.00123689,0.214313779,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0,Good
0.6,1,1,1,1,0.25,0.25,1,1,0,1,1,0.5,0,0.75,0.5,0.75,0.9,0.964177173,0.5,0,0,0,0,0,0,0.25,0.75,1,0.015600933,0.844532104,0.005331218,0.052008598,0.95951464,1,1,0.025792187,0.01438793,0.054121401,0.068763737,0.056490111,0.030083857,0.030045916,0,0.004006912,0.009511998,0.041238708,0.023041522,0.020429048,0.989626269,1,0.015303481,0.357189632,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
0.4,1,1,1,1,0.25,0.25,1,1,0,1,1,0.5,0,0.5,0.25,0.75,0.8,0.947385222,0.5,1,1,1,0.6,0.336747211,1,0,0,0,0.04990391,0.941009008,0.001368314,0.072900507,1,1,1,0.030992984,0.024840792,0.057437392,0.110083167,0.053446556,0.053310668,0.051335574,0.027404745,0.000733048,0.030328617,0.046260977,0.03583173,0.013862886,0.912494147,1,0.033735565,0.250032742,0.347129586,0.298245614,0.242424242,0.501375668,0.75,0.157575758,0.503235083,Good
